Applicant_ID,Age,Income,Loan_Amount,Credit_Score,Employment_Status,Past_Defaults,Risk_Label
64,41,142126,24931,679,Unemployed,5,1
65,33,143103,46405,355,Employed,5,1
66,44,138477,15016,399,Unemployed,5,1
67,35,145645,31135,712,Self-Employed,3,1
68,50,143787,49323,481,Employed,0,1
69,26,123011,31487,498,Employed,1,1
70,34,110639,19383,633,Unemployed,3,1
71,40,130330,19046,353,Employed,1,1
72,49,66549,8521,518,Self-Employed,3,1
73,55,133824,30905,510,Employed,4,1
74,30,83380,20666,366,Employed,4,1
75,33,47591,22476,391,Employed,4,1
76,46,139147,43879,517,Unemployed,3,1
77,32,51269,6151,678,Unemployed,2,1
78,38,147042,23103,455,Self-Employed,0,1
79,57,94067,30778,764,Employed,2,1
80,58,63897,30650,686,Self-Employed,2,1
81,65,135788,8462,688,Employed,1,0
82,50,147605,47582,716,Self-Employed,1,0
83,40,44042,25143,732,Employed,1,0
84,62,118848,49127,446,Self-Employed,5,1
85,62,53745,7274,808,Unemployed,5,1
86,28,70986,29633,804,Employed,0,0
87,30,82595,28058,426,Unemployed,2,1
88,53,109819,21956,526,Employed,3,1
89,50,91012,24223,817,Unemployed,4,1
90,59,36928,29691,816,Employed,2,1
91,50,95107,36979,387,Self-Employed,4,1
92,62,111758,27927,343,Self-Employed,2,1
93,63,119978,12291,706,Unemployed,1,0
94,62,106879,10615,835,Self-Employed,0,0
95,26,32596,10356,586,Employed,1,1
96,47,48019,25741,703,Employed,5,1
97,28,28028,40282,337,Employed,4,1
98,38,129960,18163,366,Self-Employed,2,1
99,27,42324,30411,583,Self-Employed,0,1
100,31,146559,30445,829,Self-Employed,1,0
101,60,122668,35308,547,Unemployed,1,1
102,47,86344,28316,497,Unemployed,0,1
103,24,113930,25413,311,Unemployed,5,1
104,42,32195,26990,537,Employed,5,1
105,29,84326,28113,361,Employed,4,1
106,25,131620,34697,352,Self-Employed,0,1
107,56,55229,5991,488,Self-Employed,5,1
108,49,47353,6712,845,Self-Employed,5,1
109,34,47131,8191,555,Employed,2,1
110,31,100278,44510,324,Self-Employed,3,1
111,63,29032,48885,677,Employed,3,1
112,46,37321,30170,408,Employed,1,1
113,54,91892,30900,838,Unemployed,4,1
114,58,23697,25148,556,Employed,4,1
115,62,99945,9888,443,Employed,1,1
116,40,66115,25458,705,Unemployed,5,1
117,48,45495,22799,487,Self-Employed,4,1
118,40,134669,41221,692,Self-Employed,0,0
119,56,100966,30606,715,Self-Employed,3,1
120,45,75033,14774,305,Employed,3,1
121,29,46272,23397,542,Unemployed,2,1
122,56,87584,40829,313,Self-Employed,2,1
123,31,51071,20686,443,Unemployed,3,1
124,56,148575,12546,437,Unemployed,3,1
125,58,131239,28240,534,Self-Employed,4,1
126,24,55070,34292,451,Self-Employed,1,1
127,42,98556,48292,481,Unemployed,5,1
128,62,130373,10808,603,Self-Employed,4,1
129,47,60213,17612,578,Employed,4,1
130,41,62515,30969,327,Employed,5,1
131,48,79538,24115,768,Self-Employed,5,1
132,40,104716,15235,408,Self-Employed,2,1
133,28,111699,16168,415,Unemployed,4,1
134,62,37775,20178,586,Self-Employed,2,1
135,42,48538,38324,444,Employed,0,1
136,65,54019,14634,364,Self-Employed,4,1
137,26,94450,46200,773,Unemployed,4,1
138,46,22871,28083,742,Employed,3,1
139,25,139520,15334,434,Unemployed,4,1
140,24,25059,9755,831,Unemployed,5,1
141,26,84009,27727,790,Self-Employed,0,0
142,64,98562,46165,831,Unemployed,0,0
143,52,123416,37929,482,Employed,1,1
144,53,91286,7686,403,Self-Employed,5,1
145,25,112516,40857,578,Unemployed,5,1
146,34,26015,43034,551,Unemployed,2,1
147,53,145182,6197,575,Employed,3,1
148,56,103932,22627,740,Employed,1,0
149,36,20343,49455,610,Employed,0,0
150,38,101520,44358,653,Self-Employed,5,1
151,54,131123,28942,348,Self-Employed,2,1
152,43,118862,35165,356,Unemployed,5,1
153,61,81251,28445,628,Unemployed,4,1
154,65,126784,31422,591,Employed,3,1
155,46,117531,17814,421,Self-Employed,1,1
156,45,114324,47816,676,Self-Employed,2,1
157,34,147707,36190,359,Self-Employed,0,1
158,41,66748,26435,792,Self-Employed,5,1
159,53,127280,8839,455,Employed,2,1
160,33,39173,24615,392,Employed,0,1
161,33,104838,37315,400,Self-Employed,0,1
162,51,112818,24709,322,Employed,1,1
163,24,73286,36207,555,Unemployed,0,1
164,43,144256,24493,531,Unemployed,2,1
165,30,89696,25230,351,Self-Employed,1,1
166,45,55342,38355,609,Employed,4,1
167,65,124675,39492,834,Employed,5,1
168,46,106319,33561,586,Unemployed,2,1
169,56,99783,17152,794,Employed,2,1
170,59,77832,24813,450,Self-Employed,2,1
171,29,48779,46073,504,Self-Employed,2,1
172,40,24602,28773,399,Unemployed,5,1
173,24,88448,37817,541,Unemployed,0,1
174,45,45860,14061,656,Employed,3,1
175,50,79614,41953,401,Self-Employed,4,1
176,51,86860,37642,670,Unemployed,1,0
177,35,43289,34633,495,Self-Employed,2,1
178,44,93781,31949,774,Employed,5,1
179,61,23654,34631,702,Unemployed,4,1
180,21,147390,15147,355,Unemployed,5,1
181,42,47047,39254,634,Unemployed,4,1
182,31,100851,23338,750,Unemployed,1,0
183,37,33502,22507,699,Unemployed,2,1
184,31,144975,16173,739,Employed,1,0
185,63,111579,23162,782,Employed,4,1
186,42,83524,27392,466,Self-Employed,1,1
187,23,73236,12802,317,Employed,2,1
188,33,92381,40997,768,Unemployed,2,1
189,25,78992,40988,425,Employed,3,1
190,32,35940,31601,837,Employed,5,1
191,64,81273,39263,754,Unemployed,4,1
192,35,129351,15800,714,Unemployed,3,1
193,55,141330,11428,806,Self-Employed,2,1
194,64,81179,35663,310,Self-Employed,3,1
195,33,73103,15605,764,Employed,3,1
196,58,83120,28698,472,Self-Employed,1,1
197,30,58892,26762,465,Employed,1,1
198,59,64921,48434,703,Employed,4,1
199,34,81742,17936,543,Employed,3,1
200,53,59185,31747,830,Unemployed,4,1
201,64,55050,30968,496,Unemployed,2,1
202,61,21158,31833,767,Self-Employed,5,1
203,38,89996,11835,448,Self-Employed,4,1
204,56,66995,40870,308,Unemployed,4,1
205,35,29070,23260,796,Self-Employed,5,1
206,49,131408,27182,668,Unemployed,3,1
207,52,114858,23939,651,Self-Employed,4,1
208,46,49423,27793,679,Self-Employed,4,1
209,34,124048,43397,761,Self-Employed,3,1
210,22,58795,6266,805,Unemployed,1,0
211,63,31591,22569,348,Unemployed,2,1
212,33,53491,22234,525,Unemployed,4,1
213,49,50155,18659,428,Self-Employed,1,1
214,30,91800,29839,360,Employed,0,1
215,42,52111,36717,408,Self-Employed,5,1
216,65,67483,14957,770,Employed,3,1
217,45,28819,12484,556,Employed,4,1
218,60,147710,33633,561,Employed,0,1
219,59,77741,48552,344,Self-Employed,2,1
220,32,67518,5062,730,Self-Employed,3,1
221,51,87313,48212,831,Employed,5,1
222,61,59871,20634,325,Employed,3,1
223,50,147913,41429,666,Employed,0,0
224,54,77734,43588,615,Self-Employed,3,1
225,32,29765,48055,591,Unemployed,5,1
226,27,132014,28920,381,Employed,0,1
227,42,94522,37382,394,Self-Employed,2,1
228,24,55208,29017,842,Unemployed,2,1
229,38,67916,9613,765,Self-Employed,1,0
230,26,76282,15059,300,Self-Employed,0,1
231,63,142639,10350,568,Employed,0,1
232,25,104241,37520,720,Unemployed,3,1
233,64,91819,10370,815,Self-Employed,3,1
234,42,39017,11271,302,Unemployed,0,1
235,42,74443,43768,710,Employed,3,1
236,57,53190,21545,392,Self-Employed,3,1
237,30,132583,21270,731,Employed,0,0
238,58,143383,24843,636,Unemployed,0,0
239,49,74770,47090,589,Employed,4,1
240,34,48504,37837,546,Employed,5,1
241,25,135968,30815,337,Unemployed,0,1
242,42,31162,14623,558,Employed,4,1
243,22,97148,9061,832,Self-Employed,3,1
244,33,48207,19003,308,Employed,0,1
245,36,25725,45768,767,Unemployed,3,1
246,62,133181,13239,416,Employed,0,1
247,36,64330,49779,683,Employed,3,1
248,65,113326,37987,772,Self-Employed,1,0
249,31,26374,28280,328,Employed,3,1
250,29,77198,25202,578,Self-Employed,2,1
251,64,146895,37168,802,Employed,0,0
252,58,72521,23711,773,Self-Employed,3,1
253,28,120016,26550,492,Employed,1,1
254,38,39078,17515,381,Unemployed,1,1
255,62,92566,21833,489,Employed,3,1
256,21,39159,9180,747,Unemployed,5,1
257,53,47196,18831,614,Self-Employed,0,0
258,26,66086,12388,659,Unemployed,1,0
259,49,47990,21039,615,Unemployed,1,0
260,40,125798,8040,744,Self-Employed,0,0
261,32,131682,35048,805,Employed,1,0
262,29,23035,36570,546,Unemployed,3,1
263,45,34574,6615,426,Unemployed,3,1
264,32,66745,31515,612,Unemployed,3,1
265,39,121676,23529,604,Employed,4,1
266,58,32312,11934,501,Self-Employed,3,1
267,29,88743,33052,455,Unemployed,4,1
268,30,109261,47730,420,Self-Employed,1,1
269,51,68342,9638,490,Self-Employed,3,1
270,48,147190,37529,546,Self-Employed,5,1
271,27,41793,48065,662,Employed,2,1
272,38,82257,47578,390,Unemployed,3,1
273,55,142988,15709,647,Employed,3,1
274,53,76717,8795,573,Unemployed,3,1
275,31,88005,33445,406,Self-Employed,2,1
276,25,41439,43467,792,Employed,2,1
277,64,72562,19505,390,Self-Employed,4,1
278,55,70710,31128,478,Unemployed,4,1
279,48,44358,22737,498,Self-Employed,0,1
280,62,64740,5889,655,Employed,2,1
281,22,59616,5106,607,Self-Employed,2,1
282,31,75963,29356,794,Unemployed,3,1
283,41,131559,20777,467,Employed,4,1
284,23,88351,43720,427,Unemployed,0,1
285,46,124420,28679,439,Unemployed,1,1
286,56,122959,24709,367,Employed,5,1
287,22,141634,29468,301,Self-Employed,5,1
288,27,83400,29371,654,Employed,0,0
289,62,102413,9533,742,Employed,3,1
290,25,148085,5352,361,Unemployed,3,1
291,39,97129,9122,527,Employed,2,1
292,47,109947,13685,561,Self-Employed,1,1
293,63,62376,34814,637,Unemployed,4,1
294,34,71703,26229,565,Unemployed,4,1
295,24,121205,10915,383,Unemployed,2,1
296,64,33711,26246,450,Employed,5,1
297,42,74360,27364,480,Unemployed,1,1
298,31,72365,6606,421,Employed,1,1
299,63,121660,12439,490,Unemployed,5,1
300,26,149910,25294,329,Self-Employed,4,1
301,35,121735,45344,830,Self-Employed,4,1
302,50,46402,14008,506,Employed,4,1
303,33,112419,47896,368,Unemployed,4,1
304,38,56578,46609,393,Self-Employed,2,1
305,46,145655,11758,726,Unemployed,3,1
306,48,73517,40062,646,Unemployed,1,0
307,46,96962,44350,593,Unemployed,0,1
308,26,129450,21532,364,Self-Employed,4,1
309,27,121064,45048,707,Unemployed,4,1
310,52,36283,11532,551,Unemployed,5,1
311,61,50852,40716,779,Unemployed,4,1
312,31,149088,16516,366,Unemployed,5,1
313,31,29550,47481,597,Self-Employed,2,1
314,24,44610,9935,701,Self-Employed,4,1
315,25,112115,25905,758,Self-Employed,4,1
316,30,122981,39272,389,Employed,4,1
317,57,75834,42063,721,Self-Employed,1,0
318,50,55324,47355,660,Unemployed,3,1
319,47,101876,36386,834,Self-Employed,1,0
320,51,128010,25048,433,Employed,4,1
321,36,111425,22638,643,Self-Employed,0,0
322,24,48868,33461,539,Self-Employed,4,1
323,58,39503,47595,303,Unemployed,5,1
324,23,147722,41985,746,Unemployed,4,1
325,51,41177,49885,368,Unemployed,4,1
326,41,47137,23239,621,Employed,1,0
327,24,37047,5702,710,Employed,1,0
328,65,130932,23808,470,Unemployed,2,1
329,46,114969,26414,527,Employed,0,1
330,56,91197,19612,653,Employed,4,1
331,43,110337,19079,792,Self-Employed,5,1
332,34,136471,7697,604,Self-Employed,5,1
333,48,132033,12034,786,Self-Employed,3,1
334,31,34733,41522,699,Unemployed,3,1
335,42,26260,20003,561,Self-Employed,5,1
336,59,125514,22189,308,Unemployed,2,1
337,43,69323,10495,797,Unemployed,4,1
338,49,44586,47766,733,Employed,2,1
339,55,33633,34432,314,Self-Employed,3,1
340,54,55654,15484,312,Employed,4,1
341,56,101697,7196,729,Employed,2,1
342,55,46946,15017,506,Unemployed,3,1
343,60,81386,7841,482,Self-Employed,0,1
344,33,143611,36476,325,Employed,4,1
345,39,142686,34776,601,Employed,1,0
346,40,139628,48698,383,Self-Employed,1,1
347,38,53930,9221,694,Self-Employed,2,1
348,50,100000,45917,742,Employed,2,1
349,39,52972,31336,394,Self-Employed,1,1
350,46,53584,31758,800,Self-Employed,3,1
351,41,87330,8762,400,Self-Employed,1,1
352,28,129380,47666,708,Employed,4,1
353,46,73892,48360,796,Unemployed,5,1
354,48,96913,21097,495,Employed,2,1
355,56,58540,44820,436,Employed,3,1
356,55,103437,35617,490,Self-Employed,0,1
357,52,81833,17766,550,Unemployed,3,1
358,60,47487,25564,468,Employed,5,1
359,28,103619,32403,435,Self-Employed,1,1
360,38,140944,45325,605,Unemployed,4,1
361,37,135492,16712,375,Unemployed,3,1
362,63,130095,25697,352,Self-Employed,5,1
363,30,72866,6529,522,Self-Employed,5,1
364,43,58642,26041,682,Self-Employed,4,1
365,37,138115,12577,458,Employed,0,1
366,21,149342,32371,844,Unemployed,2,1
367,27,132312,23533,586,Unemployed,0,1
368,57,59663,11990,305,Self-Employed,2,1
369,63,45685,10330,599,Employed,2,1
370,56,46594,39619,455,Employed,3,1
371,28,33403,37411,696,Unemployed,5,1
372,31,30675,47505,574,Self-Employed,3,1
373,36,63018,30586,785,Self-Employed,2,1
374,50,115430,35366,394,Unemployed,1,1
375,47,114314,45997,826,Employed,1,0
376,45,103907,36014,604,Employed,3,1
377,37,34155,28965,549,Self-Employed,2,1
378,30,28487,38927,738,Employed,3,1
379,26,100030,49662,604,Unemployed,2,1
380,46,24288,8514,687,Unemployed,0,0
381,37,143717,33535,690,Unemployed,1,0
382,33,108200,36942,564,Unemployed,4,1
383,53,37251,20016,623,Unemployed,1,0
384,29,24763,32754,774,Self-Employed,2,1
385,37,58664,44315,424,Self-Employed,1,1
386,61,31185,32709,579,Employed,2,1
387,48,46439,43877,728,Employed,2,1
388,30,73145,15666,699,Employed,4,1
389,52,108078,8702,410,Employed,1,1
390,56,68159,30228,662,Self-Employed,2,1
391,52,28893,14804,598,Unemployed,1,1
392,46,23471,9940,368,Unemployed,3,1
393,31,127526,42550,408,Employed,4,1
394,49,74747,5985,662,Self-Employed,1,0
395,59,88452,40562,791,Unemployed,2,1
396,45,132770,9474,421,Unemployed,1,1
397,22,22355,35692,721,Self-Employed,0,0
398,42,26016,35398,792,Self-Employed,4,1
399,38,79341,7778,687,Unemployed,3,1
400,56,80336,13407,300,Unemployed,0,1
401,23,23319,45412,440,Employed,0,1
402,42,22400,8603,692,Employed,0,0
403,36,68322,42273,720,Unemployed,0,0
404,61,34201,43118,798,Self-Employed,1,0
405,29,69648,24497,725,Self-Employed,4,1
406,25,92499,49617,755,Employed,4,1
407,47,59930,43023,459,Self-Employed,2,1
408,48,92765,16809,487,Unemployed,2,1
409,57,30248,44708,575,Self-Employed,5,1
410,35,68610,31242,362,Employed,2,1
411,39,82072,38994,732,Employed,5,1
412,60,135615,37522,532,Self-Employed,0,1
413,39,97273,33268,380,Employed,2,1
414,48,131613,40498,418,Unemployed,1,1
415,50,62787,31232,402,Employed,1,1
416,36,66461,24815,472,Employed,1,1
417,42,51995,24312,663,Self-Employed,1,0
418,43,37180,48670,319,Employed,5,1
419,44,50664,9936,544,Self-Employed,3,1
420,53,35016,6954,613,Unemployed,5,1
421,58,57470,47854,508,Unemployed,3,1
422,51,32820,45619,338,Employed,2,1
423,57,134544,42673,755,Unemployed,5,1
424,48,27807,9987,379,Employed,1,1
425,55,69103,31909,315,Self-Employed,0,1
426,41,148148,36404,401,Employed,0,1
427,41,121913,26439,693,Unemployed,5,1
428,47,24943,32951,369,Unemployed,2,1
429,26,42474,26880,747,Employed,5,1
430,33,102027,16343,340,Unemployed,4,1
431,58,73901,9088,579,Unemployed,0,1
432,29,146557,37991,833,Self-Employed,1,0
433,39,69963,30170,500,Self-Employed,5,1
434,37,133133,47601,399,Self-Employed,1,1
435,28,123102,8364,768,Employed,0,0
436,49,31787,12943,822,Unemployed,1,0
437,34,95314,8260,598,Employed,4,1
438,47,120162,29261,331,Unemployed,5,1
439,61,43307,22556,352,Unemployed,4,1
440,37,145958,48818,460,Self-Employed,3,1
441,22,147071,28780,766,Employed,1,0
442,23,147048,32751,796,Self-Employed,2,1
443,38,127170,19141,313,Self-Employed,2,1
444,57,125336,37842,531,Employed,2,1
445,23,77020,12144,802,Unemployed,1,0
446,36,130727,28474,497,Unemployed,3,1
447,23,130194,14069,519,Unemployed,0,1
448,29,60086,26093,527,Self-Employed,5,1
449,45,36894,33096,310,Unemployed,2,1
450,59,21348,26003,503,Employed,4,1
451,51,130515,12319,705,Employed,3,1
452,57,32666,25357,444,Employed,5,1
453,58,28320,34596,331,Self-Employed,2,1
454,27,43849,14044,768,Self-Employed,3,1
455,51,21211,33389,657,Self-Employed,4,1
456,51,135515,33197,381,Unemployed,4,1
457,63,74295,6646,551,Employed,5,1
458,24,75804,31878,494,Self-Employed,5,1
459,38,31157,41016,326,Employed,5,1
460,24,32688,6838,668,Employed,5,1
461,39,30577,45023,504,Self-Employed,1,1
462,62,110662,19485,716,Unemployed,4,1
463,30,38453,20961,716,Unemployed,0,0
464,44,43315,5228,492,Self-Employed,3,1
465,41,145298,37315,676,Self-Employed,2,1
466,60,110033,38413,325,Self-Employed,2,1
467,54,73984,31169,555,Unemployed,5,1
468,28,53104,13621,593,Employed,0,1
469,57,69635,13078,773,Self-Employed,5,1
470,32,57414,14486,578,Unemployed,1,1
471,30,134966,27395,504,Self-Employed,2,1
472,59,54450,22838,715,Unemployed,0,0
473,57,95883,46381,461,Employed,1,1
474,48,138021,20012,485,Self-Employed,1,1
475,35,109819,11067,735,Unemployed,2,1
476,48,132548,23349,596,Unemployed,4,1
477,36,28955,16828,473,Self-Employed,2,1
478,26,124466,26580,346,Employed,4,1
479,23,116483,13870,383,Unemployed,3,1
480,44,115590,22474,334,Unemployed,4,1
481,62,37696,24327,336,Self-Employed,0,1
482,59,71004,11531,620,Self-Employed,0,0
483,43,92481,33310,498,Employed,1,1
484,58,55445,30332,356,Employed,5,1
485,45,120320,16891,388,Self-Employed,3,1
486,23,108243,38940,747,Employed,5,1
487,63,74112,13897,647,Unemployed,0,0
488,47,57216,12386,513,Employed,5,1
489,30,96034,26523,832,Employed,2,1
490,61,47873,7076,497,Employed,1,1
491,46,87814,23140,355,Self-Employed,2,1
492,48,80356,24881,765,Unemployed,0,0
493,56,57842,39802,488,Employed,2,1
494,61,142532,16815,391,Employed,0,1
495,43,147861,25473,524,Employed,1,1
496,56,32390,27030,755,Employed,2,1
497,63,75091,22523,531,Employed,0,1
498,49,36245,43201,339,Employed,0,1
499,63,32925,21971,434,Employed,5,1
500,36,141787,10926,449,Employed,5,1
501,49,143278,25175,438,Employed,1,1
502,22,45704,25511,845,Unemployed,2,1
503,26,47465,47475,750,Self-Employed,4,1
504,61,84801,11933,498,Self-Employed,0,1
505,50,137556,34091,304,Employed,3,1
506,27,21788,9802,820,Unemployed,3,1
507,27,105033,36611,612,Unemployed,3,1
508,55,120393,46217,434,Self-Employed,1,1
509,37,84402,12838,404,Self-Employed,4,1
510,28,123372,41947,352,Unemployed,3,1
511,33,140825,39437,716,Unemployed,5,1
512,31,129117,47563,623,Self-Employed,3,1
513,48,62145,5730,613,Unemployed,3,1
514,23,56148,34958,590,Unemployed,3,1
515,54,102397,34740,522,Unemployed,4,1
516,47,120304,8048,369,Self-Employed,3,1
517,22,113404,17026,716,Unemployed,2,1
518,59,104701,32462,649,Unemployed,3,1
519,36,69959,47499,420,Employed,5,1
520,45,142337,47778,473,Unemployed,4,1
521,34,79205,40461,527,Employed,2,1
522,61,66802,7014,364,Unemployed,4,1
523,23,70194,48230,540,Unemployed,1,1
524,24,87290,30233,537,Self-Employed,4,1
525,22,122035,28331,571,Unemployed,4,1
526,52,98545,16246,413,Unemployed,0,1
527,63,98128,16104,656,Unemployed,1,0
528,57,119227,8147,741,Unemployed,5,1
529,57,77194,44221,472,Employed,4,1
530,44,21945,26309,713,Employed,3,1
531,27,22017,40781,585,Employed,5,1
532,41,145023,8039,678,Unemployed,4,1
533,21,60701,13165,773,Self-Employed,1,0
534,35,22677,19734,579,Employed,2,1
535,32,25646,23140,495,Self-Employed,3,1
536,64,42204,32114,594,Unemployed,5,1
537,48,47328,31412,647,Employed,3,1
538,27,138050,41546,452,Employed,0,1
539,36,142490,44155,391,Employed,5,1
540,23,139782,10816,622,Unemployed,1,0
541,54,137409,7935,301,Unemployed,3,1
542,43,99682,16357,749,Self-Employed,2,1
543,30,145807,30560,621,Unemployed,3,1
544,28,148647,37152,850,Employed,3,1
545,41,95375,42616,415,Self-Employed,5,1
546,64,71624,43048,368,Unemployed,2,1
547,33,91533,35805,407,Employed,1,1
548,62,113148,10359,645,Employed,5,1
549,29,60885,26603,326,Self-Employed,4,1
550,45,76180,13756,706,Self-Employed,3,1
551,39,119477,28213,669,Employed,3,1
552,64,37074,12350,449,Self-Employed,2,1
553,63,130136,22434,342,Unemployed,5,1
554,24,126231,29660,449,Unemployed,4,1
555,22,46785,17405,669,Unemployed,2,1
556,37,143225,16826,495,Self-Employed,2,1
557,40,116921,42712,722,Unemployed,2,1
558,34,74935,32613,832,Self-Employed,4,1
559,36,35395,18128,701,Employed,4,1
560,37,140325,15459,405,Self-Employed,1,1
561,55,129410,36733,552,Unemployed,1,1
562,45,126305,10266,669,Self-Employed,1,0
563,57,80535,24885,636,Employed,5,1
564,24,133724,49070,671,Self-Employed,5,1
565,25,123449,22586,707,Unemployed,1,0
566,60,73668,26017,762,Unemployed,4,1
567,36,112785,12525,530,Self-Employed,0,1
568,41,52888,31173,741,Unemployed,2,1
569,55,32120,37619,503,Self-Employed,4,1
570,59,128128,36053,565,Self-Employed,1,1
571,60,40285,8375,616,Unemployed,4,1
572,60,124411,10696,395,Self-Employed,5,1
573,29,117415,37505,465,Self-Employed,5,1
574,52,83588,14392,627,Employed,1,0
575,61,45433,33711,747,Employed,5,1
576,62,125347,38875,426,Unemployed,2,1
577,35,44243,28820,391,Employed,1,1
578,25,67904,14019,633,Self-Employed,0,0
579,31,130427,44943,605,Unemployed,1,0
580,21,135436,11126,648,Employed,3,1
581,35,145423,8323,409,Employed,1,1
582,57,51818,48995,674,Self-Employed,3,1
583,37,139904,14790,789,Self-Employed,0,0
584,65,93643,22299,546,Unemployed,5,1
585,48,76491,11771,715,Employed,3,1
586,27,25898,49834,693,Employed,0,0
587,33,148737,46932,714,Employed,1,0
588,64,97364,9968,742,Employed,1,0
589,52,20153,5730,446,Unemployed,4,1
590,45,68140,23601,632,Employed,3,1
591,56,97856,27240,527,Employed,4,1
592,61,47741,30993,522,Self-Employed,4,1
593,39,67316,11739,712,Unemployed,0,0
594,48,25730,25403,701,Unemployed,5,1
595,38,47459,42194,542,Self-Employed,0,1
596,58,34256,13009,759,Self-Employed,0,0
597,54,27888,14870,789,Self-Employed,4,1
598,29,60713,20862,847,Self-Employed,2,1
599,22,106965,47984,367,Unemployed,5,1
600,42,78709,22409,352,Employed,1,1
601,26,121504,36866,476,Unemployed,3,1
602,44,129495,45038,527,Unemployed,2,1
603,63,118008,17117,467,Self-Employed,2,1
604,43,35906,21807,826,Self-Employed,4,1
605,38,142977,45347,802,Employed,3,1
606,29,91057,18698,453,Employed,3,1
607,27,127739,42699,437,Self-Employed,3,1
608,63,129909,13101,598,Employed,1,1
609,24,51461,14158,694,Unemployed,0,0
610,52,120346,49737,677,Employed,5,1
611,21,73475,38893,374,Self-Employed,4,1
612,24,140459,28689,700,Self-Employed,0,0
613,61,30069,36246,577,Employed,0,1
614,53,114116,29024,569,Employed,3,1
615,37,137795,32227,651,Unemployed,1,0
616,31,51206,5315,440,Self-Employed,5,1
617,33,117508,40295,386,Self-Employed,0,1
618,49,26030,7015,539,Self-Employed,3,1
619,32,57223,33811,434,Employed,4,1
620,32,148404,29633,776,Unemployed,0,0
621,30,80126,29022,508,Unemployed,5,1
622,24,143206,40060,742,Self-Employed,1,0
623,59,20531,25101,783,Unemployed,2,1
624,62,92497,27199,711,Self-Employed,3,1
625,26,56584,27515,819,Employed,0,0
626,31,137244,24944,447,Unemployed,4,1
627,38,27477,36074,619,Employed,4,1
628,41,20411,37500,337,Employed,0,1
629,53,92637,10526,475,Unemployed,1,1
630,37,149896,44016,367,Employed,0,1
631,32,146841,17420,410,Unemployed,2,1
632,45,23540,40321,597,Self-Employed,1,1
633,34,106027,7891,738,Unemployed,2,1
634,22,82276,31269,389,Unemployed,1,1
635,40,61019,46839,527,Unemployed,2,1
636,60,60336,18280,342,Employed,2,1
637,65,123775,43732,519,Self-Employed,0,1
638,56,85863,43986,493,Self-Employed,5,1
639,22,61856,35614,589,Unemployed,0,1
640,63,26190,23028,637,Employed,3,1
641,61,62349,36444,730,Self-Employed,2,1
642,48,94611,28483,533,Unemployed,4,1
